Protein accession	Protein description	Gene name	MW [kDa]	Score	Coverage [%]	Peptides	Unique peptides	PSMs	A	B	C	A/B Ratio	A/B P value
Q9H081	Protein MIS12 homolog	MIS12	24.14	7.8223	11.7	3	3	3	1.03	0.969	1.005	1.063	3.38E-01
Q9H089	Large subunit GTPase 1 homolog	LSG1	75.225	35.074	14.9	7	7	7	1.094	0.912	0.976	1.2	3.24E-03
Q9H098	Protein FAM107B	FAM107B	15.558	38.985	32.1	5	5	7	0.742	1.161	1.051	0.639	3.40E-03
Q9H0A0	N-acetyltransferase 10	NAT10	115.73	67.146	17.7	17	17	28	1.122	0.905	0.944	1.24	2.35E-08
Q9H0A8	COMM domain-containing protein 4	COMMD4	21.764	2.6677	4.5	1	1	1					
Q9H0B6	Kinesin light chain 2	KLC2	68.934	10.94	12.5	10	5	5	0.796	1.043	1.16	0.764	5.89E-04
Q9H0C5	BTB/POZ domain-containing protein 1	BTBD1	52.771	4.2947	2.1	1	1	1					
Q9H0C8	Integrin-linked kinase-associated serine/threonine phosphatase 2C	ILKAP	42.906000000000006	23.26	19.4	7	7	8	0.84	1.1	1.087	0.764	3.04E-04
Q9H0D6	5-3 exoribonuclease 2	XRN2	108.58	94.58	18.5	16	16	24	1.169	0.941	0.902	1.242	4.50E-09
Q9H0E2	Toll-interacting protein	TOLLIP	30.281	3.0772	5.1	1	1	2	1.078	1.013	0.905	1.065	1.49E-01
Q9H0E3	Histone deacetylase complex subunit SAP130	SAP130	110.32	6.0068	3.1	3	3	4	1.092	0.894	1.012	1.222	2.78E-02
Q9H0E9	Bromodomain-containing protein 8	BRD8	135.33	16.929000000000002	3.4	3	3	3	1.102	0.984	0.908	1.12	2.51E-01
Q9H0F6	Sharpin	SHARPIN	39.949	34.659	8.3	2	2	3	0.897	1.047	1.045	0.857	1.59E-02
Q9H0G5	Nuclear speckle splicing regulatory protein 1	NSRP1	66.389	7.0206	5.2	3	3	4	0.962	0.967	1.084	0.995	9.40E-01
Q9H0H5	Rac GTPase-activating protein 1	RACGAP1	71.02600000000001	81.96	18.5	11	11	16	1.055	0.842	1.088	1.253	6.34E-04
Q9H0J9	Poly [ADP-ribose] polymerase 12	PARP12	79.063	18.616	4.3	2	2	3	1.027	0.965	1.016	1.064	4.81E-02
Q9H0K1	Serine/threonine-protein kinase SIK2	SIK2	103.91	10.993	2.3	2	2	2					
Q9H0K6	Pseudouridylate synthase 7 homolog-like protein	PUS7L	80.7	4.4538	3.6	2	2	2	0.904	1.126	0.988	0.802	3.37E-02
Q9H0L4	Cleavage stimulation factor subunit 2 tau variant	CSTF2T	64.436	14.645999999999999	23.5	12	5	8	0.997	0.891	1.13	1.12	1.40E-02
Q9H0N0	Ras-related protein Rab-6C	RAB6C	28.355	8.2765	11.4	2	1	1	0.963	0.794	1.262	1.213	
Q9H0N5	Pterin-4-alpha-carbinolamine dehydratase 2	PCBD2	14.365	1.5568	6.2	1	1	1					
Q9H0P0	Cytosolic 5-nucleotidase 3A	NT5C3A	37.948	38.411	21.7	6	6	10	1.14	0.951	0.923	1.199	1.79E-03
Q9H0R1	AP-5 complex subunit mu-1	AP5M1	54.766000000000005	2.0617	2.4	1	1	1	1.042	1.014	0.945	1.028	
Q9H0R4	Haloacid dehalogenase-like hydrolase domain-containing protein 2	HDHD2	28.535999999999998	4.3556	11.2	2	2	2	0.71	1.168	1.164	0.608	4.78E-02
Q9H0R6	Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial	QRSL1	57.46	3.1676	3.6	2	2	2	1.084	0.953	0.961	1.137	1.35E-01
Q9H0S4	Probable ATP-dependent RNA helicase DDX47	DDX47	50.646	51.976000000000006	19.8	7	7	8	1.219	0.88	0.871	1.386	4.15E-03
Q9H0U3	Magnesium transporter protein 1	MAGT1	38.036	12.715	15.2	5	5	6	1.134	0.985	0.871	1.151	
Q9H0U4	Ras-related protein Rab-1B	RAB1B	22.171	77.109	60.2	12	5	18	1.174	0.997	0.808	1.178	5.75E-06
Q9H0U6	39S ribosomal protein L18, mitochondrial	MRPL18	20.576	13.11	22.2	4	4	4	1.136	0.984	0.868	1.155	1.56E-01
Q9H0V9	VIP36-like protein	LMAN2L	39.71	4.3434	6.0	2	2	2					
Q9H0W8	Protein SMG9	SMG9	57.65	4.7124	2.9	1	1	1	0.812	0.953	1.269	0.852	
Q9H0W9	Ester hydrolase C11orf54	C11orf54	35.117	17.2	13.0	3	3	3	0.629	1.259	1.164	0.5	2.97E-02
Q9H147	Deoxynucleotidyltransferase terminal-interacting protein 1	DNTTIP1	37.013000000000005	5.2775	8.2	3	3	3	1.148	0.937	0.904	1.225	
Q9H160	Inhibitor of growth protein 2	ING2	32.808	4.2664	5.0	1	1	1	1.078	0.902	1.019	1.195	
Q9H1A3	Methyltransferase-like protein 9	METTL9	36.536	10.837	8.2	2	2	3	1.198	1.026	0.755	1.168	
Q9H1A4	Anaphase-promoting complex subunit 1	ANAPC1	216.5	47.261	6.7	13	13	14	0.993	1.001	0.993	0.992	5.55E-01
Q9H1B7	Interferon regulatory factor 2-binding protein-like	IRF2BPL	82.65799999999999	31.891	7.8	5	5	7	1.012	0.925	1.018	1.095	9.46E-01
Q9H1D9	DNA-directed RNA polymerase III subunit RPC6	POLR3F	35.684	10.367	7.3	2	2	2	1.088	0.948	0.962	1.147	4.13E-02
Q9H1E3	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	NUCKS1	27.296	82.242	26.7	8	8	15	0.675	1.202	1.194	0.562	9.48E-05
Q9H1E5	Thioredoxin-related transmembrane protein 4	TMX4	38.952	1.7852	3.4	1	1	1					
Q9H1H9	Kinesin-like protein KIF13A	KIF13A	202.31	13.380999999999998	2.0	3	1	1	0.741	1.078	1.222	0.687	
Q9H1I8	Activating signal cointegrator 1 complex subunit 2	ASCC2	86.359	3.5219	1.8	1	1	1					
Q9H1K0	Rabenosyn-5	ZFYVE20	88.869	3.7384	3.3	3	3	3					
Q9H1K1	Iron-sulfur cluster assembly enzyme ISCU, mitochondrial	ISCU	17.999000000000002	5.2469	15.6	3	3	4	1.104	0.95	0.94	1.162	4.33E-02
Q9H1P3	Oxysterol-binding protein-related protein 2	OSBPL2	55.201	3.5404	5.6	2	2	2	0.774	1.039	1.225	0.745	
Q9H1Y0	Autophagy protein 5	ATG5	32.446999999999996	11.783	8.7	2	2	2	1.026	1.143	0.83	0.898	
Q9H1Z4	WD repeat-containing protein 13	WDR13	53.695	8.4311	3.9	2	2	2	1.066	1.06	0.871	1.006	
Q9H201	Epsin-3	EPN3	68.221	1.5894	3.5	2	1	1	1.015	1.073	0.915	0.946	
Q9H204	Mediator of RNA polymerase II transcription subunit 28	MED28	19.52	3.747	7.9	1	1	1					
Q9H223	EH domain-containing protein 4	EHD4	61.174	25.758000000000003	11.6	6	4	5	0.904	1.086	1.088	0.832	9.56E-03
Q9H267	Vacuolar protein sorting-associated protein 33B	VPS33B	70.584	40.597	15.9	9	9	10	0.929	1.02	1.01	0.911	1.01E-01
Q9H269	Vacuolar protein sorting-associated protein 16 homolog	VPS16	94.693	8.8163	4.4	3	3	3	0.887	1.037	1.098	0.855	
Q9H299	SH3 domain-binding glutamic acid-rich-like protein 3	SH3BGRL3	10.437999999999999	33.336999999999996	47.3	5	5	8	0.779	1.143	1.112	0.682	3.03E-06
Q9H2D6	TRIO and F-actin-binding protein	TRIOBP	261.37	7.1264	1.9	5	5	5	0.756	1.038	1.246	0.728	2.35E-01
Q9H2F3	3 beta-hydroxysteroid dehydrogenase type 7	HSD3B7	41.016000000000005	2.3914	6.8	2	2	2					
Q9H2G2	STE20-like serine/threonine-protein kinase	SLK	142.69	76.72399999999999	15.3	21	21	29	0.809	1.106	1.144	0.731	9.39E-11
Q9H2H8	Peptidyl-prolyl cis-trans isomerase-like 3	PPIL3	18.154	11.077	23.0	3	3	5	0.809	1.061	1.162	0.762	7.04E-02
Q9H2K0	Translation initiation factor IF-3, mitochondrial	MTIF3	31.725	5.7805	10.4	2	2	2					
Q9H2K8	Serine/threonine-protein kinase TAO3	TAOK3	105.4	32.89	11.6	11	9	12	0.913	1.16	0.914	0.787	7.51E-04
Q9H2M9	Rab3 GTPase-activating protein non-catalytic subunit	RAB3GAP2	155.98	52.152	7.4	9	9	13	0.894	1.05	1.072	0.852	6.38E-04
Q9H2P0	Activity-dependent neuroprotector homeobox protein	ADNP	123.56	68.771	14.4	13	13	15	1.189	0.901	0.905	1.32	1.23E-07
Q9H2P9	Diphthine synthase	DPH5	31.651	9.7007	13.7	3	3	3	0.82	0.983	1.23	0.834	2.40E-01
Q9H2U1	ATP-dependent RNA helicase DHX36	DHX36	114.76	70.169	16.8	14	14	18	0.959	1.049	0.998	0.914	1.32E-02
Q9H2U2	Inorganic pyrophosphatase 2, mitochondrial	PPA2	37.92	31.055999999999997	26.0	7	7	10	1.16	0.982	0.822	1.181	4.24E-04
Q9H2W6	39S ribosomal protein L46, mitochondrial	MRPL46	31.705	43.898999999999994	31.2	5	5	8	1.242	0.888	0.847	1.399	3.69E-02
Q9H307	Pinin	PNN	81.613	109.27	23.7	20	20	27	1.152	0.872	0.931	1.321	2.06E-08
Q9H330	Transmembrane protein 245	TMEM245	100.94	11.982000000000001	2.3	2	2	2	1.235	0.921	0.821	1.34	1.54E-01
Q9H3G5	Probable serine carboxypeptidase CPVL	CPVL	54.163000000000004	35.383	22.3	9	9	9	1.11	0.93	0.906	1.192	4.71E-02
Q9H3H1	tRNA dimethylallyltransferase, mitochondrial	TRIT1	52.725	11.725999999999999	7.9	3	3	3	1.074	0.994	0.97	1.08	2.88E-01
Q9H3H3	UPF0696 protein C11orf68	C11orf68	27.354	5.932	13.5	3	3	3					
Q9H3K2	Growth hormone-inducible transmembrane protein	GHITM	37.205	15.815	11.9	4	4	4	1.286	0.932	0.752	1.38	1.05E-02
Q9H3K6	BolA-like protein 2	BOLA2	10.116	12.513	40.7	3	3	5	0.759	1.135	1.095	0.669	1.77E-05
Q9H3N1	Thioredoxin-related transmembrane protein 1	TMX1	31.791	21.878	16.1	4	4	7	1.284	0.91	0.857	1.411	4.69E-05
Q9H3P2	Negative elongation factor A	NELFA	57.276	27.999000000000002	12.5	4	4	5	0.976	0.933	1.171	1.046	7.03E-01
Q9H3P7	Golgi resident protein GCP60	ACBD3	60.593	58.81399999999999	16.7	8	8	11	1.163	0.956	0.869	1.216	6.85E-02
Q9H3Q1	Cdc42 effector protein 4	CDC42EP4	37.979	9.8454	10.4	3	2	3	1.025	1.018	0.96	1.007	
Q9H3R2	Mucin-13	MUC13	54.603	117.35	19.9	7	7	13	1.189	0.848	0.919	1.402	7.90E-07
Q9H3R5	Centromere protein H	CENPH	28.480999999999998	1.537	3.2	1	1	1	1.02	0.944	1.042	1.081	
Q9H3S7	Tyrosine-protein phosphatase non-receptor type 23	PTPN23	178.97	19.331	4.0	6	6	6	0.884	1.038	1.101	0.852	3.61E-01
Q9H3U1	Protein unc-45 homolog A	UNC45A	103.08	115.02	26.1	22	22	32	0.811	1.096	1.103	0.74	2.23E-09
Q9H3Z4	DnaJ homolog subfamily C member 5	DNAJC5	22.149	2.7702	7.1	1	1	1					
Q9H410	Kinetochore-associated protein DSN1 homolog	DSN1	40.067	10.652000000000001	9.3	3	3	4	1.042	0.867	1.123	1.202	1.06E-02
Q9H425	Uncharacterized protein C1orf198	C1orf198	36.346	2.3771	4.0	1	1	1					
Q9H444	Charged multivesicular body protein 4b	CHMP4B	24.95	64.501	30.4	6	6	11	0.806	1.084	1.142	0.744	3.56E-06
Q9H446	RWD domain-containing protein 1	RWDD1	27.939	3.8822	11.1	3	3	4	0.68	1.49	0.868	0.456	2.28E-02
Q9H461	Frizzled-8	FZD8	73.29899999999999	1.6919	1.0	1	1	1	1.056	1.032	0.911	1.023	
Q9H467	CUE domain-containing protein 2	CUEDC2	32.009	2.9763	8.4	2	2	2	0.861	1.062	1.102	0.811	1.58E-01
Q9H477	Ribokinase	RBKS	34.143	10.991	13.7	5	5	5	0.619	1.446	0.98	0.428	6.32E-02
Q9H479	Fructosamine-3-kinase	FN3K	35.171	59.321000000000005	21.0	5	5	9	0.887	1.144	0.976	0.775	9.42E-05
Q9H488	GDP-fucose protein O-fucosyltransferase 1	POFUT1	43.955	27.349	18.6	6	6	11	1.088	0.9	1.028	1.209	8.13E-04
Q9H490	Phosphatidylinositol glycan anchor biosynthesis class U protein	PIGU	50.051	3.5677	4.6	2	2	2					
Q9H4A3	Serine/threonine-protein kinase WNK1	WNK1	250.79	20.677	4.5	10	7	8	0.958	1.159	0.911	0.827	1.89E-02
Q9H4A4	Aminopeptidase B	RNPEP	72.595	143.27	27.2	17	17	30	0.643	1.184	1.164	0.542	1.46E-17
Q9H4A5	Golgi phosphoprotein 3-like	GOLPH3L	32.766999999999996	8.7544	5.3	1	1	1	0.953	1.061	0.999	0.898	
Q9H4A6	Golgi phosphoprotein 3	GOLPH3	33.81	39.195	22.1	5	5	7	1.077	0.976	0.964	1.103	2.77E-01
Q9H4B0	Probable tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	OSGEPL1	45.122	16.339000000000002	4.1	2	2	2	1.092	0.922	0.983	1.184	2.91E-01
Q9H4F8	SPARC-related modular calcium-binding protein 1	SMOC1	48.162	2.0917	2.8	1	1	1	1.258	1.002	0.712	1.255	
Q9H4G0	Band 4.1-like protein 1	EPB41L1	98.50200000000001	41.135	14.8	10	9	9	0.965	0.987	1.057	0.978	6.35E-01
Q9H4H8	Protein FAM83D	FAM83D	64.42399999999999	13.954	7.5	4	4	4	0.853	0.83	1.35	1.028	7.61E-01
Q9H4I3	TraB domain-containing protein	TRABD	42.321000000000005	4.8271	6.4	3	3	3	1.135	0.968	0.886	1.173	
Q9H4K7	Mitochondrial ribosome-associated GTPase 2	MTG2	43.955	4.4307	8.4	3	3	3	1.222	0.872	0.886	1.401	
Q9H4L4	Sentrin-specific protease 3	SENP3	65.009	16.067	7.0	3	3	5	1.164	0.872	0.899	1.335	1.30E-01
Q9H4L5	Oxysterol-binding protein-related protein 3	OSBPL3	101.22	28.641	8.2	6	6	6					
Q9H4M9	EH domain-containing protein 1	EHD1	60.626000000000005	118.85	34.8	17	14	19	0.893	1.128	1.005	0.792	2.48E-03
Q9H4P4	E3 ubiquitin-protein ligase NRDP1	RNF41	35.905	1.7833	2.8	1	1	1					
Q9H4Z2	Zinc finger protein 335	ZNF335	144.89	1.9606	0.6	1	1	1					
Q9H4Z3	Phosphorylated CTD-interacting factor 1	PCIF1	80.669	11.102	3.6	2	2	2	0.886	1.139	0.994	0.778	
Q9H501	ESF1 homolog	ESF1	98.795	21.144000000000002	8.2	7	7	8	1.277	0.933	0.761	1.369	3.57E-03
Q9H553	Alpha-1,3/1,6-mannosyltransferase ALG2	ALG2	47.091	2.4729	4.8	2	2	3					
Q9H583	HEAT repeat-containing protein 1	HEATR1	242.37	52.496	7.6	17	17	20	1.142	0.956	0.902	1.195	1.56E-02
Q9H5K3	Protein O-mannose kinase	POMK	40.05	6.1772	9.7	3	3	4	1.244	0.805	0.93	1.545	2.19E-03
Q9H5N1	Rab GTPase-binding effector protein 2	RABEP2	63.542	13.552	8.3	4	4	6	0.91	1.077	1.031	0.845	8.11E-02
Q9H5Q4	Dimethyladenosine transferase 2, mitochondrial	TFB2M	45.348	11.882	12.9	5	5	6	1.285	1.02	0.643	1.26	3.92E-03
Q9H5V9	UPF0428 protein CXorf56	CXorf56	25.624000000000002	26.721	22.5	5	5	6	0.866	1.014	1.07	0.854	1.63E-02
Q9H5X1	MIP18 family protein FAM96A	FAM96A	18.355	11.378	8.8	1	1	3	1.018	0.963	1.026	1.057	2.49E-01
Q9H5Z1	Probable ATP-dependent RNA helicase DHX35	DHX35	78.90899999999999	2.3194	1.6	1	1	1					
Q9H6A9	Pecanex-like protein 3	PCNXL3	222.04	2.1381	0.6	1	1	1					
Q9H6B4	CXADR-like membrane protein	CLMP	41.28	1.5647	2.1	1	1	1					
Q9H6D7	HAUS augmin-like complex subunit 4	HAUS4	42.398999999999994	5.1611	5.0	2	2	2	0.942	1.0	1.074	0.941	4.96E-01
Q9H6E5	Speckle targeted PIP5K1A-regulated poly(A) polymerase	TUT1	93.846	15.363	4.3	3	3	3	1.056	0.892	1.054	1.184	
Q9H6F5	Coiled-coil domain-containing protein 86	CCDC86	40.235	29.643	25.0	7	7	10	1.128	0.928	0.976	1.215	1.87E-02
Q9H6H4	Receptor expression-enhancing protein 4	REEP4	29.395	5.6823	5.1	1	1	1	1.139	0.965	0.886	1.18	
Q9H6K4	Optic atrophy 3 protein	OPA3	19.996	2.1137	8.4	2	2	2					
Q9UHQ1	Nuclear prelamin A recognition factor	NARF	51.156000000000006	5.0283	2.4	1	1	1					
Q9H6R0	Putative ATP-dependent RNA helicase DHX33	DHX33	78.873	3.8675	3.5	2	2	2					
Q9H6R4	Nucleolar protein 6	NOL6	127.59	39.315	7.3	7	7	10	1.473	0.961	0.538	1.532	6.52E-06
Q9H6S0	Probable ATP-dependent RNA helicase YTHDC2	YTHDC2	160.25	28.254	3.8	5	5	5	1.005	1.03	1.019	0.976	9.96E-01
Q9H6S3	Epidermal growth factor receptor kinase substrate 8-like protein 2	EPS8L2	80.62	169.14	23.9	15	15	21	0.862	1.1	1.073	0.784	1.25E-06
Q9H6T0	Epithelial splicing regulatory protein 2	ESRP2	78.4	24.031999999999996	5.9	4	4	5	1.012	0.896	1.041	1.129	9.20E-02
Q9H6T3	RNA polymerase II-associated protein 3	RPAP3	75.718	105.17	28.3	16	16	19	0.802	1.145	1.108	0.7	1.80E-11
Q9H6U6	Breast carcinoma-amplified sequence 3	BCAS3	101.24	2.1821	1.2	1	1	1	0.911	1.15	0.954	0.792	
Q9H6V9	UPF0554 protein C2orf43	C2orf43	37.318000000000005	5.1431	5.5	2	2	2	1.322	0.858	0.787	1.541	
Q9H6W3	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66	NO66	71.085	1.9124	1.6	1	1	1	1.195	0.793	0.999	1.507	
Q9H6X2	Anthrax toxin receptor 1	ANTXR1	62.788000000000004	6.356	5.5	3	3	3	1.076	0.959	0.964	1.121	3.19E-02
Q9H6Y2	WD repeat-containing protein 55	WDR55	42.07	8.7678	7.8	3	3	3	1.019	0.97	1.011	1.051	7.79E-01
Q9H6Z4	Ran-binding protein 3	RANBP3	60.208999999999996	38.863	9.2	4	4	5	0.888	1.066	1.067	0.832	1.98E-01
Q9H773	dCTP pyrophosphatase 1	DCTPP1	18.680999999999997	23.426	32.4	6	6	9	0.928	1.042	0.973	0.891	9.00E-02
Q9H788	SH2 domain-containing protein 4A	SH2D4A	52.726000000000006	27.526999999999997	16.5	7	7	10	0.867	1.061	1.106	0.817	3.83E-04
Q9H7B2	Ribosome production factor 2 homolog	RPF2	35.582	25.089000000000002	8.8	2	2	3	1.32	0.756	0.894	1.745	7.93E-03
Q9H7C4	Syncoilin	SYNC	55.299	18.746	10.4	6	6	6	0.786	1.176	1.07	0.668	4.30E-02
Q9H7C9	Mth938 domain-containing protein	AAMDC	13.332	9.0886	13.1	1	1	1	0.867	1.099	1.057	0.789	
Q9H7D0	Dedicator of cytokinesis protein 5	DOCK5	215.31	35.245	5.6	9	9	9	0.966	1.083	0.945	0.892	1.28E-01
Q9H7D7	WD repeat-containing protein 26	WDR26	72.123	4.3892	3.3	2	2	2	1.138	1.04	0.808	1.094	
Q9H7E2	Tudor domain-containing protein 3	TDRD3	73.184	4.7051	3.1	2	2	2	1.038	1.008	0.956	1.03	
Q9H7E9	UPF0488 protein C8orf33	C8orf33	24.991999999999997	7.2027	5.7	1	1	1					
Q9H7H0	Methyltransferase-like protein 17, mitochondrial	METTL17	50.733000000000004	1.8906	1.8	1	1	1					
Q9H7L9	Sin3 histone deacetylase corepressor complex component SDS3	SUDS3	38.135999999999996	34.792	17.7	4	4	4	1.035	0.983	0.986	1.053	3.74E-01
Q9H7N4	Splicing factor, arginine/serine-rich 19	SCAF1	139.27	11.048	4.0	4	4	4					
Q9H7P6	Multivesicular body subunit 12B	MVB12B	35.619	2.7191	4.4	1	1	1					
Q9H7S9	Zinc finger protein 703	ZNF703	58.221000000000004	14.698	3.7	2	2	2	1.056	1.014	0.93	1.041	
Q9H7Z6	Histone acetyltransferase KAT8	KAT8	52.402	2.1527	1.5	1	1	1					
Q9H7Z7	Prostaglandin E synthase 2	PTGES2	41.943000000000005	102.12	34.5	12	12	17	1.196	0.942	0.84	1.27	2.27E-06
Q9H814	Phosphorylated adapter RNA export protein	PHAX	44.402	9.4515	8.1	3	3	4	0.95	1.046	1.015	0.908	2.26E-02
Q9H832	Ubiquitin-conjugating enzyme E2 Z	UBE2Z	38.21	16.005	12.1	4	4	5	0.717	1.182	1.189	0.607	3.71E-03
Q9H840	Gem-associated protein 7	GEMIN7	14.536	4.9576	20.6	1	1	1					
Q9H845	Acyl-CoA dehydrogenase family member 9, mitochondrial	ACAD9	68.76	51.988	22.4	13	13	19	1.233	0.91	0.87	1.355	1.09E-08
Q9H857	5-nucleotidase domain-containing protein 2	NT5DC2	60.718	1.6871	1.7	1	1	1					
Q9H871	Protein RMD5 homolog A	RMND5A	43.992	12.901	3.1	1	1	1	1.222	0.733	1.03	1.667	
Q9H8H0	Nucleolar protein 11	NOL11	81.123	27.765	12.8	9	9	9	1.098	0.874	1.076	1.258	4.70E-02
Q9H8H2	Probable ATP-dependent RNA helicase DDX31	DDX31	94.086	26.44	9.3	7	7	8	1.211	0.89	0.901	1.36	3.40E-05
Q9H8M5	Metal transporter CNNM2	CNNM2	96.62200000000001	33.332	7.7	6	5	5	1.125	0.99	0.852	1.136	4.83E-01
Q9H8M7	Protein FAM188A	FAM188A	49.724	3.452	2.2	1	1	1	0.786	1.121	1.126	0.701	
Q9H8V3	Protein ECT2	ECT2	103.5	24.868000000000002	7.7	5	5	5	0.895	0.938	1.191	0.954	5.99E-01
Q9H8X2	Inositol-pentakisphosphate 2-kinase	IPPK	56.016000000000005	2.524	1.6	1	1	1					
Q9H8Y5	Ankyrin repeat and zinc finger domain-containing protein 1	ANKZF1	80.926	18.255	14.9	10	10	11	0.996	1.002	1.035	0.994	5.05E-01
Q9H8Y8	Golgi reassembly-stacking protein 2	GORASP2	47.145	50.528999999999996	17.9	5	5	5	1.082	1.025	0.934	1.056	3.73E-01
Q9H900	Protein zwilch homolog	ZWILCH	67.21300000000001	21.168000000000003	7.6	4	4	5	0.823	1.023	1.173	0.804	2.91E-03
Q9H910	Hematological and neurological expressed 1-like protein	HN1L	20.063	56.975	56.8	8	8	13	0.774	1.141	1.158	0.678	4.85E-05
Q9H930	Nuclear body protein SP140-like protein	SP140L	67.005	1.5838	5.0	3	1	2					
Q9H936	Mitochondrial glutamate carrier 1	SLC25A22	34.47	33.07	9.9	3	3	4	1.113	0.975	0.904	1.142	2.52E-02
Q9H944	Mediator of RNA polymerase II transcription subunit 20	MED20	23.221999999999998	2.1895	4.2	1	1	1					
Q9H974	Queuine tRNA-ribosyltransferase subunit QTRTD1	QTRTD1	46.711999999999996	20.24	12.5	3	3	4	0.86	1.07	1.096	0.804	2.03E-01
Q9H993	UPF0364 protein C6orf211	C6orf211	51.172	30.156999999999996	13.6	6	6	9	0.568	1.233	1.246	0.461	1.91E-05
Q9H9A5	CCR4-NOT transcription complex subunit 10	CNOT10	82.309	13.168	4.8	3	3	3	0.877	1.062	1.084	0.826	8.61E-02
Q9H9A6	Leucine-rich repeat-containing protein 40	LRRC40	68.249	33.806999999999995	18.8	10	10	11	0.754	1.129	1.166	0.668	7.02E-04
Q9H9B1	Histone-lysine N-methyltransferase EHMT1	EHMT1	141.46	18.29	3.9	4	4	5	1.194	0.881	0.909	1.355	
Q9H9B4	Sideroflexin-1	SFXN1	35.619	79.506	38.5	12	12	20	1.214	0.883	0.828	1.376	1.52E-03
Q9H9C1	Spermatogenesis-defective protein 39 homolog	VIPAS39	57.005	15.202	9.9	5	5	6	1.002	0.992	0.927	1.01	6.87E-01
Q9H9E3	Conserved oligomeric Golgi complex subunit 4	COG4	89.08200000000001	37.9	7.6	4	4	5	1.003	0.975	1.03	1.028	5.21E-01
Q9H9F9	Actin-related protein 5	ACTR5	68.297	9.6232	4.1	2	2	2	0.892	1.008	1.123	0.885	
Q9H9G7	Protein argonaute-3	AGO3	97.359	8.8722	3.7	2	1	1					
Q9H9H4	Vacuolar protein sorting-associated protein 37B	VPS37B	31.307	17.984	9.8	2	2	2	0.934	1.054	1.027	0.887	1.56E-01
Q9H9J2	39S ribosomal protein L44, mitochondrial	MRPL44	37.535	36.254	22.3	6	6	10	1.165	0.964	0.847	1.209	6.48E-03
Q9H9J4	Ubiquitin carboxyl-terminal hydrolase 42	USP42	145.39	4.6621	1.0	1	1	1					
Q9H9L3	Interferon-stimulated 20 kDa exonuclease-like 2	ISG20L2	39.153	8.1795	10.5	3	3	3					
Q9H9P8	L-2-hydroxyglutarate dehydrogenase, mitochondrial	L2HGDH	50.315	20.482	9.5	4	4	6	1.065	0.925	1.039	1.151	2.57E-03
Q9H9Q2	COP9 signalosome complex subunit 7b	COPS7B	29.622	2.6424	6.4	1	1	1	0.922	1.006	1.089	0.917	
Q9H9T3	Elongator complex protein 3	ELP3	62.258	15.700999999999999	12.8	6	6	6	0.953	1.022	1.052	0.932	1.21E-01
Q9H9Y6	DNA-directed RNA polymerase I subunit RPA2	POLR1B	128.23	7.7769	2.6	3	3	4	1.161	0.985	0.841	1.179	
Q9HA64	Ketosamine-3-kinase	FN3KRP	34.412	21.171	23.3	6	6	10	0.742	1.252	1.086	0.593	1.58E-03
Q9HA77	Probable cysteine--tRNA ligase, mitochondrial	CARS2	62.223	31.467	15.2	8	8	13	1.268	0.897	0.808	1.414	2.64E-08
Q9HAD4	WD repeat-containing protein 41	WDR41	51.727	47.41	12.4	5	5	6	0.837	1.047	1.141	0.799	4.55E-03
Q9HAF1	Chromatin modification-related protein MEAF6	MEAF6	21.635	5.6831	15.7	3	3	4					
Q9HAN9	Nicotinamide mononucleotide adenylyltransferase 1	NMNAT1	31.932	4.442	4.3	2	2	2					
Q9HAS0	Protein Njmu-R1	C17orf75	44.621	2.1946	2.8	1	1	3	0.974	0.954	1.041	1.021	8.69E-01
Q9HAT2	Sialate O-acetylesterase	SIAE	58.31399999999999	1.8231	2.3	1	1	1	0.829	1.143	1.054	0.725	
Q9HAU0	Pleckstrin homology domain-containing family A member 5	PLEKHA5	127.46	12.922	4.7	5	5	6	1.088	1.019	0.915	1.068	1.79E-01
Q9HAU5	Regulator of nonsense transcripts 2	UPF2	147.81	15.218	4.6	6	6	7	0.9	1.026	1.115	0.877	4.17E-03
Q9HAV0	Guanine nucleotide-binding protein subunit beta-4	GNB4	37.567	12.081	16.8	6	3	5	1.084	1.118	0.872	0.97	9.61E-01
Q9HAV4	Exportin-5	XPO5	136.31	77.153	11.3	13	13	15	0.925	1.036	1.058	0.893	2.18E-04
Q9HAV7	GrpE protein homolog 1, mitochondrial	GRPEL1	24.279	29.396	32.3	6	6	6	1.126	0.92	0.826	1.224	2.47E-02
Q9HB07	UPF0160 protein MYG1, mitochondrial	C12orf10	42.449	45.636	23.4	7	7	10	0.706	1.122	1.287	0.63	5.08E-02
Q9HB19	Pleckstrin homology domain-containing family A member 2	PLEKHA2	47.254	16.472	12.0	5	5	5	0.852	1.179	0.991	0.723	
Q9HB71	Calcyclin-binding protein	CACYBP	26.21	71.055	36.8	11	11	20	0.745	1.113	1.158	0.669	2.30E-09
Q9HB90	Ras-related GTP-binding protein C	RRAGC	44.223	2.9339999999999997	3.5	1	1	1					
Q9HBG4	V-type proton ATPase 116 kDa subunit a isoform 4	ATP6V0A4	96.385	2.9591	1.8	1	1	1					
